visit_id,gateway_id,requested_on,visited_on,reason_reported,outcome,parts_replaced,technician_hours
WO-2025-00001,02:30:EE:F7:24:35,2025-02-03,2025-02-05,Auffaellige Statistik,Kein Fehler gefunden,,1.28
WO-2025-00007,02:CF:FA:3A:3F:35,2025-02-03,2025-02-12,Signal schwach,Kein Fehler gefunden,,0.64
WO-2025-00004,06:C0:F2:7E:81:0B,2025-02-03,2025-02-14,Keine Verbindung,Kein Fehler gefunden,,1.65
WO-2025-00003,0A:0B:47:66:4A:85,2025-02-04,2025-02-11,Haeufige Neustarts,Kein Fehler gefunden,,1.08
WO-2025-00008,0E:E0:9E:DA:64:9F,2025-02-04,2025-02-17,Auffaellige Statistik,Kein Zugang,,0.93
WO-2025-00005,06:EF:D6:1B:80:ED,2025-02-05,2025-02-19,Routinepruefung,Kein Fehler gefunden,,1.32
WO-2025-00006,06:34:F7:8D:B4:C5,2025-02-06,2025-02-18,Routinepruefung,Kein Zugang,,1.74
WO-2025-00002,0A:18:4A:2E:46:B7,2025-02-06,2025-02-12,Routinepruefung,Kein Fehler gefunden,,1.49
WO-2025-00019,06:FD:A7:D7:B2:2A,2025-02-10,2025-02-17,Keine Verbindung,Kein Zugang,,0.94
WO-2025-00014,0A:52:DD:E8:96:BF,2025-02-11,2025-02-24,Zaehler nicht gelesen,Kein Fehler gefunden,,1.17
WO-2025-00016,0A:6D:35:95:37:3D,2025-02-11,2025-02-13,Signal schwach,Kein Fehler gefunden,,1.79
WO-2025-00015,0A:BE:42:BE:41:65,2025-02-12,2025-02-25,Signal schwach,Kein Fehler gefunden,,0.76
WO-2025-00020,06:B1:62:DC:93:E3,2025-02-13,2025-02-18,Keine Verbindung,Fehler behoben,Kabel,2.75
WO-2025-00011,06:D3:88:A1:9D:5D,2025-02-13,2025-02-23,Haeufige Neustarts,Kein Fehler gefunden,,1.06
WO-2025-00017,0E:34:28:2F:4B:53,2025-02-13,2025-02-24,Keine Verbindung,Fehler behoben,Netzteil,2.38
WO-2025-00013,0E:97:61:D8:EB:58,2025-02-13,2025-02-15,Zaehler nicht gelesen,Kein Fehler gefunden,,1.1
WO-2025-00018,02:78:E0:6A:2F:67,2025-02-14,2025-03-03,Auffaellige Statistik,Kein Fehler gefunden,,0.58
WO-2025-00009,0A:57:33:86:57:F8,2025-02-14,2025-02-21,Haeufige Neustarts,Kein Fehler gefunden,,1.51
WO-2025-00010,0A:9A:3B:FD:6C:9B,2025-02-14,2025-02-17,Auffaellige Statistik,Kein Zugang,,0.96
WO-2025-00012,0E:A5:2A:2A:75:81,2025-02-14,2025-02-19,Haeufige Neustarts,Kein Fehler gefunden,,1.03
WO-2025-00027,02:89:2F:51:E1:CB,2025-02-17,2025-02-22,Routinepruefung,Kein Fehler gefunden,,1.36
WO-2025-00021,06:4A:ED:1E:C0:AA,2025-02-17,2025-02-24,Keine Verbindung,Fehler behoben,Netzteil,2.73
WO-2025-00023,02:38:8A:18:85:4F,2025-02-18,2025-02-23,Signal schwach,Kein Fehler gefunden,,1.3
WO-2025-00028,0E:41:CF:7F:74:D5,2025-02-18,2025-02-24,Kunde meldet Ausfall,Kein Fehler gefunden,,0.72
WO-2025-00029,0E:50:A5:B2:E5:C4,2025-02-18,2025-03-03,Keine Verbindung,Fehler behoben,Kabel,2.58
WO-2025-00026,02:17:82:0B:FF:B2,2025-02-19,2025-02-23,Signal schwach,Kein Fehler gefunden,,1.67
WO-2025-00022,02:1D:82:B5:6A:3F,2025-02-19,2025-03-08,Keine Verbindung,Fehler behoben,SIM-Karte,2.2
WO-2025-00025,0A:63:90:E0:FB:A4,2025-02-20,2025-03-06,Auffaellige Statistik,Kein Fehler gefunden,,1.0
WO-2025-00030,06:C0:D5:E3:BC:DB,2025-02-21,2025-03-05,Auffaellige Statistik,Kein Fehler gefunden,,1.55
WO-2025-00024,0E:EC:B1:08:FF:91,2025-02-21,2025-03-01,Signal schwach,Kein Fehler gefunden,,1.83
WO-2025-00031,0E:89:2C:46:A4:42,2025-02-24,2025-03-01,Kunde meldet Ausfall,Kein Zugang,,0.93
WO-2025-00035,0E:E9:49:79:50:EE,2025-02-24,2025-03-04,Haeufige Neustarts,Kein Fehler gefunden,,1.18
WO-2025-00034,06:2E:A1:13:79:8F,2025-02-26,2025-03-04,Auffaellige Statistik,Kein Zugang,,0.75
WO-2025-00033,06:4E:66:B5:36:7B,2025-02-27,2025-03-11,Routinepruefung,Kein Fehler gefunden,,0.86
WO-2025-00038,06:DA:F1:1B:D3:8F,2025-02-27,2025-03-04,Zaehler nicht gelesen,Kein Fehler gefunden,,1.05
WO-2025-00037,0A:25:F6:E3:46:6C,2025-02-27,2025-03-09,Kunde meldet Ausfall,Kein Fehler gefunden,,0.81
WO-2025-00036,0A:27:2C:5A:2C:9B,2025-02-27,2025-03-07,Routinepruefung,Kein Fehler gefunden,,1.17
WO-2025-00032,0A:4E:33:E2:69:2B,2025-02-27,2025-03-15,Auffaellige Statistik,Kein Fehler gefunden,,1.67
WO-2025-00044,02:C0:F4:5F:31:E7,2025-03-03,2025-03-12,Kunde meldet Ausfall,Kein Fehler gefunden,,1.62
WO-2025-00041,0A:55:DA:26:6F:71,2025-03-03,2025-03-09,Keine Verbindung,Kein Fehler gefunden,,1.6
