week_start,gateway_id,meters_expected,meters_read
2025-08-04,0202CB0A6B1F,166,156
2025-08-04,02043B6BA08B,475,433
2025-08-04,02075B45BF24,146,121
2025-08-04,02091DF7CCB8,128,95
2025-08-04,02097AB58D3C,315,276
2025-08-04,020CC6FB9659,208,192
2025-08-04,02132677328F,311,254
2025-08-04,02142F017781,214,189
2025-08-04,02145826103B,129,112
2025-08-04,0217820BFFB2,162,151
2025-08-04,021D82B56A3F,131,117
2025-08-04,02251388D3A2,92,74
2025-08-04,0228A99EE35A,121,113
2025-08-04,022C6F326E3B,156,135
2025-08-04,022DB47C41AC,136,75
2025-08-04,023015602FAA,179,167
2025-08-04,0230D261A1CD,240,232
2025-08-04,0230EEF72435,351,338
2025-08-04,02314F9A9168,194,184
2025-08-04,023257D29366,221,198
2025-08-04,023270320B57,127,122
2025-08-04,02388A18854F,93,62
2025-08-04,0239AD51B7AF,109,103
2025-08-04,023A663EFD87,202,175
2025-08-04,023AD5204E1C,90,83
2025-08-04,023ADDDECF84,60,16
2025-08-04,02423E0E6E9F,297,272
2025-08-04,024570739DE0,106,80
2025-08-04,02478CD90F3A,106,97
2025-08-04,024DD3A9ADCA,187,161
2025-08-04,024ED433BF7D,86,73
2025-08-04,0253BB40EDA6,281,280
2025-08-04,0257E855DBCE,125,110
2025-08-04,0259991BA036,579,476
2025-08-04,026A6007FA48,208,32
2025-08-04,027137436C87,482,445
2025-08-04,0278E06A2F67,90,88
2025-08-04,0279D2AC6ACE,295,270
2025-08-04,027B2DC4EA84,294,178
2025-08-04,027D07FC97FC,158,145
2025-08-04,027FE9CED489,67,62
2025-08-04,028764AA026E,119,111
2025-08-04,02892F51E1CB,127,101
2025-08-04,0289694A6E5B,155,138
2025-08-04,028B24EADDAD,211,203
2025-08-04,028CC0AE5719,185,170
2025-08-04,0293918A963F,102,98
2025-08-04,02980E461859,122,112
2025-08-04,029A2B32D17E,194,168
2025-08-04,029C03C2BF19,107,64
2025-08-04,029DA26B1A92,109,101
2025-08-04,02A80292CB97,106,98
2025-08-04,02B5C5ADC792,121,110
2025-08-04,02B742646A0E,147,131
2025-08-04,02BAD919855D,82,76
2025-08-04,02BD26A4C3A0,247,226
2025-08-04,02C0F45F31E7,75,41
2025-08-04,02CFFA3A3F35,103,94
2025-08-04,02D49A34B2FE,418,263
2025-08-04,02D4DFEF402A,132,125
2025-08-04,02D7623552C8,141,84
2025-08-04,02DC03A0F1E6,156,155
2025-08-04,02E12310186C,391,377
2025-08-04,02EBC6CD4398,109,101
2025-08-04,02F093C88F2E,127,125
2025-08-04,02F18EEE028A,446,358
2025-08-04,02F56F7C8E0B,167,152
2025-08-04,02F5CE7705EC,387,313
2025-08-04,02F98EB34A7A,321,291
2025-08-04,02FBDD4A2C43,78,57
2025-08-04,060C5773A61B,116,98
2025-08-04,060EE3CB4779,69,32
2025-08-04,06132D7396F8,96,69
2025-08-04,0616F247083A,546,516
2025-08-04,061A4322745C,173,158
2025-08-04,06238EE3BE6C,228,204
2025-08-04,062EA113798F,179,150
2025-08-04,0634F78DB4C5,68,64
2025-08-04,0639EA5602C1,113,112
2025-08-04,0644582257D9,140,122
2025-08-04,064AED1EC0AA,195,154
2025-08-04,064BE19B0A9E,143,124
2025-08-04,064C94C771EC,205,189
2025-08-04,064E66B5367B,208,195
2025-08-04,06509A84E873,269,257
2025-08-04,065B928716CD,108,93
2025-08-04,065C003A8D0C,267,244
2025-08-04,066430BA5119,399,375
2025-08-04,0665C3FE6D67,169,163
2025-08-04,06711BE6AD2A,117,108
